Introduction,,,,,,
,,,,,,
Sales_Date,Product_Category,Order_Quantity,Revenue,,,
1/1/2022,Bikes,2,"$4,837.00 ",,,
1/2/2022,Clothing,19,$168.00 ,,,
1/3/2022,Accesories,1,$34.00 ,,,
,,,,,,
Formulas,,,,,,
,,,,,,
Math operation,Variable A,Variable B,Results,,,
Addition,4,2,6,,,
Subtraction,4,2,2,,,
Multiplication,4,2,8,,,
Division,4,2,2,,,
,,,,,,
Functions,,,,,,
,,,,,,
Sum,Average,Count,Min,Max,,
10,10,10,10,10,,
7,7,7,7,7,,
5,5,5,5,5,,
9,9,9,9,9,,
12,12,12,12,12,,
43,8.6,5,5,12,Total,
,,,,,,
Numbers,,,,,,
,,,,,,
Date,Product_Category,Order_Quantity,Cost,Revenue,Profit $,Profit %
1/1/2022,Bikes,2,"$3,038.00 ","$4,837.00 ","$1,799.00 ",63%
